Genus,Species,Glucose_F,Galactose_F,Sucrose_F,Maltose_F,Lactose_F,Raffinose_F,Trehalose_F,Glucose,Inulin,Sucrose,Raffinose,Melibiose,Galactose,Lactose,Trehalose,Maltose,Melezitose,Methyl-?-D-glucoside,Soluble Starch,Cellobiose,Salicin,L-Sorbose,L-Rhamnose,D-Xylose,L-Arabinose,D-Arabinose,D-Ribose,Methanol,Ethanol,Glycerol,Erythritol,Ribitol,Galactitol,D-Mannitol,D-Glucitol,myo-Inositol,DL-Lactate,Succinate,Citrate,D-Gluconate,D-Glucosamine,N-Acetyl-D-glucosamine,Hexadecane,Nitrate,Nitrite,Vitamin-free,2-Keto-D-gluconate,5-Keto-D-gluconate,Saccharate,Xylitol,L-Arabinitol,Arbutin,"Propane 1,2 diol","Butane 2,3 diol",Cadaverine,Creatinine,L-Lysine,Ethylamine,50% Glucose,10% NaCl/5% glucose,Starch formation,Urease,Gelatin liquefaction,0.01% Cycloheximide,0.1% Cycloheximide,Growth at 19°C,Growth at 25°C,Growth at 30°C,Growth at 35°C,Growth at 37°C,Growth at 40°C,Growth at 45°C
Sterigmatomyces,S. elviae,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0.5,1,1,1,0,0.5,0,0,0,0,1,1,NA,1,NA,NA,NA,NA,1,0,1,1,1,NA,0,1,NA,NA,NA,1,1,1,1,1,NA,0
Sterigmatomyces,S. halophilus,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.5,1,0,0,0,0,0.5,1,0.5,0,1,0.5,1,1,0,1,1,1,1,0.5,1,1,0,0,1,1,0,0,0.5,0,0.5,NA,0,1,1,NA,1,NA,NA,NA,NA,0,0,1,1,1,NA,0,1,NA,NA,NA,1,1,0,0,0,0,0
Bensingtonia,B. changbaiensis ,0,0,0,0,0,0,0,1,0.5,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0.5,0.5,0,0,0,0,1,0,1,0,1,1,0,0.5,0.5,0.5,0,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,1,0,0,NA,0,1,0,NA,NA,1,1,0,0,0,0,0
Bensingtonia,B. ciliata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,0.5,0,1,NA,0,0,0,NA,0,1,NA,NA,NA,1,1,0,0,0,0,0
Bensingtonia,B. ingoldii,0,0,0,0,0,0,0,1,0,1,0.5,1,0.5,1,1,0,1,0,1,1,0.5,0.5,0,1,1,0.5,1,0,1,1,1,1,0,1,1,0,0.5,1,1,1,0,0,0,1,0.5,0,1,1,0,1,1,NA,0.5,0,1,NA,1,1,0,NA,0,1,0,NA,NA,1,1,0,0,0,0,0
Bensingtonia,B. miscanthi,0,0,0,0,0,0,0,1,0,1,0.5,0,0.5,0.5,1,0,0,0,0,1,0,0.5,0,0.5,0,0,0,0,0,1,0,0.5,0,1,1,0,0.5,1,1,0,0,0,0,1,1,0,0,0,0,1,0,NA,0,0,0,NA,0,0,0,NA,0,1,0,NA,NA,1,1,0,0,0,0,0
Bensingtonia,B. musae,0,0,0,0,0,0,0,1,0,0.5,0,0,0.5,0,1,0,0,0,0,0,1,1,0,1,0.5,0.5,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,NA,1,0,1,NA,1,1,0,NA,0,NA,0,NA,NA,1,1,1,0,0,0,0
Bensingtonia,B. naganoensis,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0.5,1,1,0,1,1,0.5,0,0,0.5,0.5,0,0,0,0,1,0,0.5,0.5,1,1,0,0.5,0.5,0,0.5,0,0,0,1,1,0,0,0,0,0.5,0,NA,0.5,0,1,NA,1,1,0,NA,0,1,0,NA,NA,1,1,0,0,0,0,0
Bensingtonia,B. phyllada,0,0,0,0,0,0,0,1,0,1,0,0,0,0.5,1,1,1,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0,0,0,1,1,0,0.5,0,1,1,0,0.5,1,0.5,0,0,0,0,1,1,0,0,0,0,0,0,NA,1,0,0,NA,1,0,0,NA,0,1,0,NA,NA,1,1,0,0,0,0,0
Bensingtonia,B. pseudonaganoensis,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,NA,0,NA,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,NA,0,1,NA,NA,NA,1,1,0,0,0,0,0
Bensingtonia,B. sakaguchii,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0.5,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,1,NA,0,1,0,NA,0,1,0,NA,NA,1,1,1,0,0,0,0
Bensingtonia,B. sorbi ,0,0,0,0,0,0,0,1,0,1,1,0,1,0.5,1,1,0,0,0.5,0.5,0,1,0,1,1,0.5,0,0,0,1,0,1,0.5,1,1,0,0.5,0.5,0.5,1,0,0,0,0,0,0,0,1,0,1,0,NA,0,0,1,NA,1,0,0,NA,0,1,NA,NA,NA,1,1,0,0,0,0,0
Bensingtonia,B. subrosea,0,0,0,0,0,0,0,1,0,1,0.5,0.5,0.5,0.5,1,1,0.5,0,1,1,0.5,0,0,0.5,0,0,0,0,0.5,1,0,0.5,0,0.5,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,1,0,NA,NA,1,1,0,0,0,0,0
Bensingtonia,B. thailandica,0,0,0,0,0,0,0,1,0,1,1,1,0.5,0,1,1,1,0,1,1,0.5,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,1,0,NA,NA,1,1,0,0,0,0,0
Bensingtonia,B. yamatoana,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,1,1,1,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,1,0,0.5,0,1,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0,1,1,0,0,0,NA,0.5,0,0,NA,1,1,0,NA,0,1,0.5,NA,NA,1,0.5,0,0,0,0,0
Bensingtonia,B. yuccicola,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.5,1,0,0,0,0,1,0,1,0,0.5,0,0,0,0,0,1,0,1,0,1,1,0,0.5,1,1,0.5,0,0,0,1,1,0,0,0.5,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,1,0,NA,NA,1,0,0,0,0,0,0
Bannoa,B. hahajimensis,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0,0.5,1,0,0.5,0.5,1,1,0,0.5,1,1,NA,NA,NA,NA,0,0,0,1,1,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,0
Cyrenella,C. elegans,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,NA,NA,1,1,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,1,1,0,0,0,0,0
