Genus,Species,Glucose_F,Galactose_F,Sucrose_F,Maltose_F,Lactose_F,Raffinose_F,Trehalose_F,Glucose,Inulin,Sucrose,Raffinose,Melibiose,Galactose,Lactose,Trehalose,Maltose,Melezitose,Methyl-?-D-glucoside,Soluble Starch,Cellobiose,Salicin,L-Sorbose,L-Rhamnose,D-Xylose,L-Arabinose,D-Arabinose,D-Ribose,Methanol,Ethanol,Glycerol,Erythritol,Ribitol,Galactitol,D-Mannitol,D-Glucitol,myo-Inositol,DL-Lactate,Succinate,Citrate,D-Gluconate,D-Glucosamine,N-Acetyl-D-glucosamine,Hexadecane,Nitrate,Nitrite,Vitamin-free,2-Keto-D-gluconate,5-Keto-D-gluconate,Saccharate,Xylitol,L-Arabinitol,Arbutin,"Propane 1,2 diol","Butane 2,3 diol",Cadaverine,Creatinine,L-Lysine,Ethylamine,50% Glucose,10% NaCl/5% glucose,Starch formation,Urease,Gelatin liquefaction,0.01% Cycloheximide,0.1% Cycloheximide,Growth at 19°C,Growth at 25°C,Growth at 30°C,Growth at 35°C,Growth at 37°C,Growth at 40°C,Growth at 45°C
Sporobolomyces,S. falcatus,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,NA,0,1,NA,NA,NA,1,1,0,0,0,0,0
Sporobolomyces,S. foliicola,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,1,NA,NA,NA,1,1,0.5,0,0,0,0
Sporobolomyces,S. fushanensis ,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0.5,0,1,0.5,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,NA,1,1,0,NA,0,1,NA,NA,NA,1,1,0,0,0,0,0
Sporobolomyces,S. gracilis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.5,1,0,0,1,0,1,0,1,0.5,0,0.5,1,0.5,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0.5,0,0,NA,0,1,NA,NA,NA,1,0,0,0,0,0,0
Sporobolomyces,S. griseoflavus,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,NA,0,1,NA,NA,NA,1,1,0,0,0,0,0
Sporobolomyces,S. inositophilus,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,0.5,1,0,NA,0,1,NA,NA,NA,1,1,0,0,0,0,0
Sporobolomyces,S. japonicus ,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,0,1,NA,NA,NA,1,1,1,0,0,0,0
Sporobolomyces,S. jilinensis,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,NA,0,NA,0.5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,0,NA,0,1,NA,NA,NA,1,1,1,NA,0,0,0
Sporobolomyces,S. kluyveri-nielii,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,0.5,0,0,NA,0,1,NA,NA,NA,1,1,0.5,0,0,0,0
Sporobolomyces,S. lactophilus,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0.5,1,1,0,0.5,0,1,0,1,0,0,0.5,1,0.5,1,0,1,0.5,0,1,1,1,0,0,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,0,NA,0,1,NA,NA,NA,1,1,1,0,0,0,0
Sporobolomyces,S. linderae,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0.5,0.5,0,1,1,1,0,0,NA,NA,1,1,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,1,NA,NA,NA,1,1,0,0,0,0,0
Sporobolomyces,S. lophatheri ,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,NA,1,1,0,0,0,0,0,1,NA,0,0,0,NA,0,1,0,NA,0,1,NA,NA,NA,1,1,0,0,0,0,0
Sporobolomyces,S. magnisporus ,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0.5,1,0,0.5,1,0.5,0.5,0.5,0,0.5,0,0,0.5,0,1,0,1,1,0,1,1,1,1,0.5,1,NA,1,1,0,1,1,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,1,NA,NA,NA,1,1,1,0,0,0,0
Sporobolomyces,S. novazealandicus  ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,NA,NA,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,1,NA,NA,NA,1,1,0,0,0,0,0
Sporobolomyces,S. nylandii  ,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,1,1,NA,0,1,NA,NA,NA,1,1,1,1,0,0,0
Sporobolomyces,S. odoratus ,0,0,0,0,0,0,0,1,0,1,1,0,0.5,0,1,0,0,0,0,0,0.5,1,0,1,0.5,0.5,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,1,NA,NA,NA,1,1,0.5,0,0,0,0
Sporobolomyces,S. ogasawarensis ,0,0,0,0,0,0,0,1,0,1,1,0.5,1,0.5,1,1,1,0,1,0.5,1,1,0.5,1,1,0.5,0,0,0,1,0,0.5,0.5,1,1,0.5,0.5,1,0.5,NA,NA,NA,NA,0,0,0,1,1,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,NA,0,1,NA,NA,NA,1,1,0,0,0,0,0
