,Glucose_F,Galactose_F,Sucrose_F,Maltose_F,Lactose_F,Raffinose_F,Trehalose_F,Glucose,Inulin,Sucrose,Raffinose,Melibiose,Galactose,Lactose,Trehalose,Maltose,Melezitose,Methyl-?-D-glucoside,Soluble Starch,Cellobiose,Salicin,L-Sorbose,L-Rhamnose,D-Xylose,L-Arabinose,D-Arabinose,D-Ribose,Methanol,Ethanol,Glycerol,Erythritol,Ribitol,Galactitol,D-Mannitol,D-Glucitol,myo-Inositol,DL-Lactate,Succinate,Citrate,D-Gluconate,D-Glucosamine,Nitrate,Vitamin-free,2-Keto-D-gluconate,Starch formation,Growth at 19°C,Growth at 25°C,Growth at 30°C,Growth at 37°C
Yamadazyma,1,1,0.5,0.5,0,0,1,1,0,1,1,1,1,0.5,1,1,1,1,0,1,1,0,1,1,1,0.5,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0.5,0,0,1,0,1,1,1,0.5
Yamadazyma,0.5,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0.5,1,0,0,0,0,0,1,1,1,0
Debaryomyces,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0
Debaryomyces,0.5,0,0.5,0,0,0.5,0.5,1,0,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0,1,1,0.5,1,0,1,1,1,1,0.5,1,1,0,0.5,1,1,1,1,0,0,1,0,1,1,1,0
Debaryomyces,0.5,0.5,0.5,0.5,0,0.5,0.5,1,0.5,1,1,0.5,1,0.5,1,1,0.5,1,0.5,1,1,0.5,0.5,1,1,0.5,0.5,0,1,1,0.5,1,0.5,1,1,0,0.5,1,0.5,1,0.5,0,0,1,0,1,1,1,0
Debaryomyces,0.5,0,0,0,0,0,0,1,0.5,1,1,0.5,1,0.5,1,1,1,1,1,1,1,0.5,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0.5,0,0,1,0,1,1,0,0
Debaryomyces,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Debaryomyces,0.5,0,0.5,0,0,0.5,0.5,1,0,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0,1,1,0.5,1,0,1,1,1,1,0.5,1,1,0,0.5,1,1,1,1,0,0,1,0,1,1,1,0.5
Debaryomyces,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1
Debaryomyces,1,0,1,1,0,0.5,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0.5,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0
Debaryomyces,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,NA,0,0,1,1,1,0
Debaryomyces,0.5,0,0.5,0,0,0.5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1
Debaryomyces,1,0,0.5,0.5,0,0,0.5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0.5,0,0,1,0,1,1,0,0
